type,omschrijving
BEAARAZ02991001,ISUZU MOTORS EUROPE||2630|AARTSELAAR|Pakhuis|
BEAARCA00042002,ATLAS COPCO AIRPOWER N.V.|INGBERTHOEVEWEG 7|2630|AARTSELAAR|Pakhuis|
BEAARD0472001,AFGESLOTEN TERREIN||2630|AARTSELAAR|Pakhuis|Particulier Douane-entrepot type D
BEAARP00023001,BEL-BOS TRADING BVBA||2630|AARTSELAAR|Pakhuis|
BEAARP1071001,XENUM||2630|AARTSELAAR|Pakhuis|
BEAASB1626001,B-1626-B|N.V. VERINTRA - ADC|3200|AARSCHOT|Pakhuis|Publiek Douane-entrepot type B
BEAASP00006001,INBEV-BELGIUM|NIEUWLANDLAAN B19|3200|AARSCHOT|Pakhuis|
BEAASP00011001,WESTON||3200|AARSCHOT|Pakhuis|
BEAASP00019001,GROUP PASHUYSEN ELBICON INDUSTRIES|GASTON GEENSLAAN 10-12|3200|AARSCHOT|Pakhuis|
BEAASP00020001,LHOMAX|GASTON GEENSLAAN 80|3200|AARSCHOT|Pakhuis|
BEAASP0662001,THE TRADING GROUP||3200|AARSCHOT|Pakhuis|
BEAASP1620001,LPW CORPORATE|NIEUWLANDLAAN 87 - ZONE B436|3200|AARSCHOT|Pakhuis|
BEAASVP00048001,THE TRADING GROUP|GASTON GEENSLAAN 80|3200|AARSCHOT|Pakhuis|
BEAASVP00055001,LPW CORPORATE|NIEUWLANDLAAN 87|3200|AARSCHOT|Pakhuis|
BEAASVP00058001,GUDRUN COMMERCIAL|GASTON GEENSLAAN 86-90|3200|AARSCHOT|Pakhuis|
BEAASVP00120001,FORLOG|NIEUWLANDLAAN 19B|3200|AARSCHOT|Pakhuis|
BEAASVP00166001,OLDTIMERS GILLIS|GASTON GEENSLAAN 11|3200|AARSCHOT|Pakhuis|
BEAASVP001957001,||||Pakhuis|Particulier Douane-entrepot type C
BEAASVP002292001,||||Pakhuis|Particulier Douane-entrepot type C
BEAASVP002419001,||||Pakhuis|Particulier Douane-entrepot type C
BEAASZ2142001,BLACK AND DECKER|NIEUWLANDLAAN 7|3200|AARSCHOT|Pakhuis|
BEAATE0143001,E-0143-A|TERMINAL CONTAINER ATHUS S.A.|6791|ATHUS|Pakhuis|Particulier Douane-entrepot type E
BEAATLP00005001,TERMINAL ATHUS SA|RUE DU TERMINAL 13|6791|ATHUS|Pakhuis|
BEAATLU008550001,TERMINAL ATHUS|RUE DU TERMINAL 13|6791|ATHUS|Pakhuis|
BEAATLV00016001,TERMINAL ATHUS|RUE DU TERMINAL 13|6791|ATHUS|Pakhuis|
BEAATLZ01917001,TERMINAL ATHUS|RUE DU TERMINAL 13|6791|ATHUS|Pakhuis|
BEAATLZ01999004,ADAM ET MENTEN SPRL|RUE DU TERMINAL 7|6791|ATHUS|Pakhuis|
BEAATP1905001,"TERMINAL ATHUS  S.A.|RUE DU TERMINAL, N° 13|6791|ATHUS|Pakhuis|"
BEAATVP001917001,||||Pakhuis|Particulier Douane-entrepot type C
BEAATVP002273001,||||Pakhuis|Particulier Douane-entrepot type C
BEAATVP002351001,||||Pakhuis|Particulier Douane-entrepot type C
BEAATVP002356001,||||Pakhuis|Particulier Douane-entrepot type C
BEAATZ0964001,"SNCB|80, RUE DES DEUX GARES|1070|BRUXELLES|Pakhuis|"
BEAATZ2273001,JOST LOGISTICS  S.A.|ZONE INDUSTRIELLE DU P.E.D.|6791|ATHUS|Pakhuis|
BEAATZ2351001,ADAM ET MENTEN  SPRL|ZONE INDUSTRIELLE DU P.E.D.|6791|ATHUS|Pakhuis|
BEAATZ2356001,"AGC GLASS EUROPE  S.A.|ZONE INDUSTRIELLE DU P.E.D. , S/N|6791|ATHUS|Pakhuis|"
BEABCA1834001STOP,||||Pakhuis|
BEADEGP00496002,ROXELL B.V.B.A.|ROXELL ADEGEM|9991|ADEGEM|Pakhuis|
BEADOC1443001,C-1443-B|PITTEMSESTRAAT 58A|8850|ARDOOIE|Pakhuis|Particulier Douane-entrepot type C
BEADOCA00048001,ARDO NV|WEZESTRAAT 61|8850|ARDOOIE|Pakhuis|
BEADOCA00051001,SIOEN INDUSTRIES NV|FABRIEKSTRAAT 23|8850|ARDOOIE|Pakhuis|
BEADOGP00133001,ELGÉ CARS N.V.|OOSTLAAN 3|8850|ARDOOIE|Pakhuis|
BEADOGP00217001,CALSTRA BVBA||8850|ARDOOIE|Pakhuis|
BEADOGP00288001,C.A.L.S.A. N.V.|ROESELARSESTRAAT 9 BUS B|8850|ARDOOIE|Pakhuis|
BEADOGP00318001,BEGRO NV||8850|ARDOOIE|Pakhuis|
BEADOGP00345001,ARDO NV||8850|ARDOOIE|Pakhuis|
BEADOGP00469001,D'ARTA NV||8850|ARDOOIE|Pakhuis|
BEADOGP00571001,SIOEN NV|SIOEN ARD|8850|ARDOOIE|Pakhuis|
BEADOGP00631001,SIOEN INDUSTRIES N.V.|MAGAZIJN COATING EN VTT|8850|ARDOOIE|Pakhuis|
BEADOGP00648001,HOMIFREEZ NV||8850|ARDOOIE|Pakhuis|
BEADOGP00813002,DIAZ SUNPROTECTION NV||8850|ARDOOIE|Pakhuis|
BEADOGP00852001,C.A.L.S.A. NV||8850|ARDOOIE|Pakhuis|
BEADOGU00041001,D'ARTA NV||8850|ARDOOIE|Pakhuis|
BEADOGU00094001,SIOEN NV|SIOEN ARD|8850|ARDOOIE|Pakhuis|
BEADOGZ02617001,C.A.L.S.A. N.V.|ROESELARSESTRAAT 9 BUS B|8850|ARDOOIE|Pakhuis|
BEADOP00093001,HOUTHOOFD IGNACE||8850|ARDOOIE|Pakhuis|
BEADOVP001851001,||||Pakhuis|Particulier Douane-entrepot type C
BEADOVP002228001,||||Pakhuis|Particulier Douane-entrepot type C
BEADOZ2783001SCH,EX- EN IMPORTMAATSCHAPPIJ WEISS BVBA||8850|ARDOOIE|Pakhuis|
BEAEJD0105001,D-0105-B|PLEINTJE 35|2370|ARENDONK|Pakhuis|Particulier Douane-entrepot type D
BEAEJD1587003,D-1587-B|POEDERSTRAAT 30|2370|ARENDONK|Pakhuis|Particulier Douane-entrepot type D
BEAEJD2034001,D-2034-B|HOGE MAUW 23|2370|ARENDONK|Pakhuis|Particulier Douane-entrepot type D
BEAEJE0163009,MAGAZIJN VAN STEENBERGEN LOGISTICS N.V.|HOGE MAUW 25-27|2370|ARENDONK|Pakhuis|Particulier Douane-entrepot type D
BEAEJE2107001,RAVAGO DISTRIBUTION CENTER NV|POEDERSTRAAT 30|2370|ARENDONK|Pakhuis|Particulier Douane-entrepot type E
BEAEJHP00074001,PLURITON BVBA (SPOORMANS)|SCHOTELVEN 111|2370|ARENDONK|Pakhuis|
BEAEJHP00109001,V.M.D. NV|HOGE MAUW 900|2370|ARENDONK|Pakhuis|
BEAEJHP00213002,VDL KTI ARENDONK|HOGE MAUW 170|2370|ARENDONK|Pakhuis|
BEAEJHP00276001,SONNA INTERNATIONAL|HOGE MAUW 1160|2370|ARENDONK|Pakhuis|
BEAEJHP00325001,CABLE TEC BVBA|HOGE MAUW 860|2370|ARENDONK|Pakhuis|
BEAEJHP00534001,LOUIS BLOCKX NV|PLEINTJE 35|2370|ARENDONK|Pakhuis|
BEAEJHP00543001,DIMEA NV|HOGE MAUW 280|2370|ARENDONK|Pakhuis|
BEAEJHP00565001,ALMEX|HOGE MAUW 350|2370|ARENDONK|Pakhuis|
BEAEJHP00565002,ECO|HOGE MAUW 320|2370|ARENDONK|Pakhuis|
BEAEJHP00611001,SMULDERS GROUP NV||2370|ARENDONK|Pakhuis|
BEAEJHU00037001,SONNA INTERNATIONAL|HOGE MAUW 1160|2370|ARENDONK|Pakhuis|
BEAEJHU00110001,LOUIS BLOCKX NV|PLEINTJE 35|2370|ARENDONK|Pakhuis|
BEAEJHU00116001,DIMEA NV|HOGE MAUW 280|2370|ARENDONK|Pakhuis|
BEAEJHZ01799011,NIKE EUROPE HOLDING (BIJ VAN STEENBERGEN)|HOGE MAUW 25-27|2370|ARENDONK|Pakhuis|
BEAEJVP000763001,||||Pakhuis|Particulier Douane-entrepot type C
BEAEJVP001693001,||||Pakhuis|Particulier Douane-entrepot type C
BEAEJZ1693001,BLOCKX LOUIS N.V.|PLEINTJE 35|2370|ARENDONK|Pakhuis|
BEAEJZ1799001,MAGAZIJN VAN STEENBERGEN LOGISTICS NV|HOGE MAUW 25-27|2370|ARENDONK|Pakhuis|
BEAEJZ2551001,RAVAGO DISTRIBUTION CENTER NV|MOERENSTRAAT 85A|2370|ARENDONK|Pakhuis|
BEAEJZ2581001,VAN POPPEL DOUANEAGENTSCHAP BVBA|HOGE MAUW|2370|ARENDONK|Pakhuis|
BEAEJZ2628001,VAN POPPEL LOMMEL N.V.|HOGE MAUW 900|2370|ARENDONK|Pakhuis|
BEAEJZ3034001,RAVAGO DISTRIBUTION CENTER NV|POEDERSTRAAT 30|2370|ARENDONK|Pakhuis|
BEAEJZ3046001,DIMEA NV|HOGE MAUW 280|2370|ARENDONK|Pakhuis|
BEAEJZ3046002,DIMEA NV|HOGE MAUW 180|2370|ARENDONK|Pakhuis|
BEAELLU008680001,"TECHNICAL MECHANICAL SERVICES|RUE DES TECHNOLOGIES, 1|4432|ALLEUR|Pakhuis|"
BEAELP0980001,TECHNICAL MECHANICAL SERVICES SA|RUE DES TECHNOLOGIES 1|4432|ALLEUR|Pakhuis|
BEAELP0991001,ATELIERS FRANÇOIS|RUE DU PARC 10|4432|ALLEUR|Pakhuis|
BEAELP1963001,ARCELOR MITTAL STEEL COAT EUROPE|AVENUE DU PROGRÈS 26|4432|ALLEUR|Pakhuis|
BEAELP1995001,"ORTHODYNE SA|23B, RUE DES TECHNOLOGIES|4432|ALLEUR|Pakhuis|"
BEAELZ2212001,"ETS. VIELLEVOYE  S.A.|RUE DES PEUPLIERS, N° 13|4432|ANS|Pakhuis|"
BEAELZ3192001,"TECHNICAL MECHANICAL SERVICES SA|1, RUE DES TECHNOLOGIES|4432|ALLEUR|Pakhuis|"
BEAESHP00588001,TIMSTOR NV|HOGE MAUW 1040|2370|ARENDONK|Pakhuis|
BEAESHP00588002,VAN MOER LOGISTICS|HOGE MAUW 640|2370|ARENDONK|Pakhuis|
BEAESP0656001,SUN CHEMICAL||1730|ASSE|Pakhuis|
