type,omschrijving
BEANRAU00006003,VENETIË|||ANTWERPEN|Pakhuis|
BEANRAU00006004,JAIMY V|||ANTWERPEN|Pakhuis|
BEANRAU00009001,VOPAK TERMINAL EUROTANK||2030|ANTWERPEN|Pakhuis|
BEANRAU00009002,VOPAK TERMINAL ACS||2040|ANTWERPEN|Pakhuis|
BEANRAU00015001,CHARDONNAY|LICHTER||ANTWERPEN|Pakhuis|
BEANRAU00015002,VIRAGE|LICHTER||ANTWERPEN|Pakhuis|
BEANRAU00017001,VANQUISH|||ANTWERPEN|Pakhuis|
BEANRAU00020001,BERENDRECHT|MAGAZIJNEN A T/M N|2040|ANTWERPEN|Pakhuis|
BEANRAU00020003,"SEA-INVEST - MAGAZIJN D, E, F, G, J EN HANSA||2030|ANTWERPEN|Pakhuis|"
BEANRAU00025001,TL AMELIE|NR. 6105001||ANTWERPEN|Pakhuis|
BEANRAU00025002,TL FINITOR|NR. 6003756||ANTWERPEN|Pakhuis|
BEANRAU00025003,TL TURQUOISE|NR. 2327358||ANTWERPEN|Pakhuis|
BEANRAU00025004,TL HYDRUS|NR. 2326527||ANTWERPEN|Pakhuis|
BEANRAU00025005,TL SOVEREIGN|NR. 2327379||ANTWERPEN|Pakhuis|
BEANRAU00025006,TL ALADIN|NR. 0233593||ANTWERPEN|Pakhuis|
BEANRAU00025007,TL EQUITY|NR. 2327550||ANTWERPEN|Pakhuis|
BEANRAU00025008,TL HALDIS|NR. 6105000||ANTWERPEN|Pakhuis|
BEANRAU00026002,EVONIK ANTWERPEN NV||2040|ANTWERPEN|Pakhuis|
BEANRAU00026003,NOORDKASTEEL||2030|ANTWERPEN|Pakhuis|
BEANRAU00026005,BROEKMAN LOGISITICS||2040|ANTWERPEN|Pakhuis|
BEANRAU00027001,MAGAZIJNCOMPEX HARGO LOGISTICS||2030|ANTWERPEN|Pakhuis|
BEANRAU00028001,ATPC||2030|ANTWERPEN|Pakhuis|
BEANRAU00029001,ESSERS 8 IN CARE OF AGFA-GEVAERT||2610|WILRIJK|Pakhuis|
BEANRAU00033001,MAGAZIJN MEXICOSTRAAT||2030|ANTWERPEN|Pakhuis|
BEANRAU00033002,MAGAZIJN S2||2030|ANTWERPEN|Pakhuis|
BEANRAU00035001,MAGAZIJN CHRISTA||2030|ANTWERPEN|Pakhuis|
BEANRAU00035002,OOSTERWEEL 1000||2030|ANTWERPEN|Pakhuis|
BEANRAU00035003,"OOSTERWEEL 3000, 4000 EN 5000||2030|ANTWERPEN|Pakhuis|"
BEANRAU00038001,CHACALLI - DE DECKER||2030|ANTWERPEN|Pakhuis|
BEANRAU00038002,MAGAZIJN S8||2030|ANTWERPEN|Pakhuis|
BEANRAU00039001,VESTA TERMINAL ANTWERP NV||2040|ANTWERPEN|Pakhuis|
BEANRAU00042001,MAGAZIJN BARBARA||2030|ANTWERPEN|Pakhuis|
BEANRAU00042002,OULAND - MAGAZIJN + PLEIN||2030|ANTWERPEN|Pakhuis|
BEANRAU00042003,STEINWEG (MAG. 1 T/M 8||2030|ANTWERPEN|Pakhuis|
BEANRAU00042004,STEINWEG TERMINAL 133||2030|ANTWERPEN|Pakhuis|
BEANRAU00042005,MAGAZIJN ERIC||2030|ANTWERPEN|Pakhuis|
BEANRAU00042006,MAGAZIJN MISSOURI||2030|ANTWERPEN|Pakhuis|
BEANRAU00042008,MAGAZIJ HAMINA 3 (5411 M²)||2030|ANTWERPEN|Pakhuis|
BEANRAU00042009,"WILMARS CARGO 1, 2 EN 3||2030|ANTWERPEN|Pakhuis|"
BEANRAU00042010,LOODS 3 - KAAI 420||2030|ANTWERPEN|Pakhuis|
BEANRAU00043001,ANTWERP ZOMERWEG TERMINAL BVBA||2030|ANTWERPEN|Pakhuis|
BEANRAU00046001,BERGERAT MONNOYEUR NV - SBDII||2030|ANTWERPEN|Pakhuis|
BEANRAU00051001,MAGAZIJNCOMPLEX TERMINAL ZUID||23030|ANTWERPEN|Pakhuis|
BEANRAU00051002,PLEIN ZUIDNATIE||2030|ANTWERPEN|Pakhuis|
BEANRAU00051003,KAAI 732-736||2030|ANTWERPEN|Pakhuis|
BEANRAU00052001,TERMINAL CHURCHILLDOK||2030|ANTWERPEN|Pakhuis|
BEANRAU00054001,LANXESS NV - RECHTEROEVER||2040|ANTWERPEN|Pakhuis|
BEANRAU00054003,"RUBENS, VAN DIJCK EN JORDAENS||2030|ANTWERPEN|Pakhuis|"
BEANRAU00064001,COVESTRO||2040|ANTWERPEN|Pakhuis|
BEANRAU00064002,"RUBENS, VAN DIJCK EN JORDAENS||2030|ANTWERPEN|Pakhuis|"
BEANRAU00064003,KATOENNATIE OULAND||2030|ANTWERPEN|Pakhuis|
BEANRAU00065001,TRAFUCO 6|||ANTWERPEN|Pakhuis|
BEANRAU00065002,TRAFUCO 7|||ANTWERPEN|Pakhuis|
BEANRAU00065003,TRAFUCO 8|||ANTWERPEN|Pakhuis|
BEANRAU00070001,"ORION 1, 2 EN 3||2030|ANTWERPEN|Pakhuis|"
BEANRAU00072001,OILTANKING ANTWERP GAS TERMINAL||9130|BEVEREN (KALLO)|Pakhuis|
BEANRAU00079001,TL ALPHA|||ANTWERPEN|Pakhuis|
BEANRAU00079002,TL RICKY JANE|||ANTWERPEN|Pakhuis|
BEANRAU00086001,RANGOON||2030|ANTWERPEN|Pakhuis|
BEANRAU00086002,DE BRUYN 1||2030|ANTWERPEN|Pakhuis|
BEANRAU00086003,DE BRUYN 2||2030|ANTWERPEN|Pakhuis|
BEANRAU00086004,DE BRUYN 3||2030|ANTWERPEN|Pakhuis|
BEANRAU00086005,CENTER 1 EN 3||2030|ANTWERPEN|Pakhuis|
BEANRAU00086006,CENTER 2||2030|ANTWERPEN|Pakhuis|
BEANRAU00086007,AST||2030|ANTWERPEN|Pakhuis|
BEANRAU00086008,ZEB - UNIT 5||2030|ANTWERPEN|Pakhuis|
BEANRAU00086011,MAGAZIJN KAAI 255||2030|ANTWERPEN|Pakhuis|
BEANRAU00086012,MAGAZIJN HAIFA||2030|ANTWERPEN|Pakhuis|
BEANRAU00086013,MAGAZIJN GIRAF||2030|ANTWERPEN|Pakhuis|
BEANRAU00087001,K. GJERTSEN & CO NV||2030|ANTWERPEN|Pakhuis|
BEANRAU00089001,ROELAND M.U.V. UNIT 2||2030|ANTWERPEN|Pakhuis|
BEANRAU00089002,OAKLAND|SCHENKELDIJKWEG EN KOORDEKENSHOEF|2030|ANTWERPEN|Pakhuis|
BEANRAU00089003,LOTUS I EN II||2030|ANTWERPEN|Pakhuis|
BEANRAU00091001,INMAC NV||2060|ANTWERPEN|Pakhuis|
BEANRAU00093001,VOPAK TERMINAL LINKEROEVER||9130|KALLO|Pakhuis|
BEANRAU00093002,VOPAK TERMINAL ACS||2040|ANTWERPEN|Pakhuis|
BEANRAU00095001,MAGAZIJN BRABO||2030|ANTWERPEN|Pakhuis|
BEANRAU00095002,VAN HULLE||2060|ANTWERPEN|Pakhuis|
BEANRAU00095003,MAGAZIJN BRABO||2060|ANTWERPEN|Pakhuis|
BEANRAU00100001,FAR EAST||2030|ANTWERPEN|Pakhuis|
BEANRAU00102002,MAGAZIJN BRASIL||2030|ANTWERPEN|Pakhuis|
BEANRAU00102003,MAGAZIJN POLAND||2040|ANTWERPEN|Pakhuis|
BEANRAU00102007,MAGAZIJN ANTVERPIA||2030|ANTWERPEN|Pakhuis|
BEANRAU00102008,MAGAZIJN KRUISWEG 2||2040|ANTWERPEN|Pakhuis|
BEANRAU00102009,MAGAZIJN WVN 4 EN 5||2030|ANTWERPEN|Pakhuis|
BEANRAU00102010,MAGAZIJN ALTAMIRA||2030|ANTWERPEN|Pakhuis|
BEANRAU00102011,MAGAZIJN W.VL||2030|ANTWERPEN|Pakhuis|
BEANRAU00102012,MAGAZIJN BLAUWHOEF||2040|ANTWERPEN|Pakhuis|
BEANRAU00102013,MAGAZIJN VOGELZANG||2040|ANTWERPEN|Pakhuis|
BEANRAU00102014,MAGAZIJN KRUISWEG||2040|ANTWERPEN|Pakhuis|
BEANRAU00102015,MAGAZIJN JULES SERVAES 1||2040|ANTWERPEN|Pakhuis|
BEANRAU00102016,"MAGAZIJNEN HOUSTON, CARACAS, ANKER, NOORDSTER EN NOORDKASTEEL||2040|ANTWERPEN|Pakhuis|"
BEANRAU00102017,TERMINAL KAAI 730||2040|ANTWERPEN|Pakhuis|
BEANRAU00102018,TERMINAL KAAI 913||2040|ANTWERPEN|Pakhuis|
BEANRAU00102020,MAGAZIJN PARSIFAL||2030|ANTWERPEN|Pakhuis|
BEANRAU00102021,MAGAZIJN SIEGFRIED||2030|ANTWERPEN|Pakhuis|
BEANRAU00102022,MAGAZIJN HERWIG||2030|ANTWPEREN|Pakhuis|
BEANRAU00102023,MAGAZIJN GUDRUN||2030|ANTWERPEN|Pakhuis|
BEANRAU00102024,"MAGAZIJN SCHENKELDIJK, VOLGA I EN II||2030|ANTWERPEN|Pakhuis|"
BEANRAU00102025,MAGAZIJN KRAAGDIJK||2040|ANTWERPEN|Pakhuis|
BEANRAU00102026,MAGAZIJN DE VALK I EN II||2030|ANTWERPEN|Pakhuis|
BEANRAU00102027,MAGAZIJN ZEEPAARD||2030|ANTWERPEN|Pakhuis|
BEANRAU00102028,MAGAZIJN ISOLDE||2030|ANTWERPEN|Pakhuis|
BEANRAU00102029,MAGAZIJN KAAI 416||2030|ANTWERPEN|Pakhuis|
BEANRAU00102030,TERREIN KAAI 420||2030|ANTWPEREN|Pakhuis|
BEANRAU00102031,TERREIN KAAI 742||2040|ANTWERPEN|Pakhuis|
BEANRAU00102033,MAGAZIJN TRISTAN||2030|ANTWPEREN|Pakhuis|
BEANRAU00102034,MAGAZIJN REYNAERT||2030|ANTWPEREN|Pakhuis|
BEANRAU00102035,CONTAINERTERMINAL MANUPORT - HAVEN 520/522||2030|ANTWERPEN|Pakhuis|
BEANRAU00102036,CONTAINERTERMINAL DP WORLD - HAVEN 1700-1718||9130|KALLO|Pakhuis|
BEANRAU00102037,MAGAZIJN ECOSTORE 1||2030|ANTWPEREN|Pakhuis|
BEANRAU0010232,TERREIN KAAI 869||2040|ANTWEPREN|Pakhuis|
BEANRAU00108001,MAGAZIJN JAN SPAAS - COMPARTIMENT 2-3||2030|ANTWERPEN|Pakhuis|
BEANRAU00108002,"LBC ANTWERPEN - TANKS 362, 464 EN 1112||2030|ANTWERPEN|Pakhuis|"
BEANRAU00110001,OILTANKING STOLTHAVEN ANTWERP NV (FABRIEKSTERREIN MET OPSLAGTANKS)||2040|ANTWERPEN|Pakhuis|
BEANRAU00112001,MAGAZIJN SUNNY EUROPE NV||2030|ANTWERPEN|Pakhuis|
BEANRAU00114001,MAGAZIJN ISOLDE - L1 UNIT 1||2030|ANTWERPEN|Pakhuis|
BEANRAU00114002,MAGAZIJN ISOLDE 2 - L1 UNIT 2||2030|ANTWERPEN|Pakhuis|
BEANRAU00114003,REINAERT - L7||2030|ANTWERPEN|Pakhuis|
BEANRAU00114004,BLAUWHOEF||2040|ANTWERPEN|Pakhuis|
BEANRAU00114005,DE VALK I - L3||2030|ANTWERPEN|Pakhuis|
BEANRAU00114006,'T CENTERKEN||2030|ANTWERPEN|Pakhuis|
BEANRAU00114007,SILS 1-2-3-4||2030|ANTWERPEN|Pakhuis|
BEANRAU00114008,SIEGFRIED - T1||2030|ANTWERPEN|Pakhuis|
BEANRAU00114009,PARSIFIAL - T2||2030|ANTWERPEN|Pakhuis|
BEANRAU00115001,VALK 1|DEEL 4757 M²|2030|ANTWERPEN|Pakhuis|
BEANRAU00115002,MARNIX 2|AFGEBAKEND DEEL|2030|ANTWERPEN|Pakhuis|
BEANRAU00115003,MARNIX 3|RIJ B VAN 1 T/M 7|2030|ANTWERPEN|Pakhuis|
BEANRAU00115004,MARNIX SILO||2030|ANTWERPEN|Pakhuis|
BEANRAU00115005,MARNIX 1|AFGEBAKEND DEEL|2030|ANTWERPEN|Pakhuis|
BEANRAU00115006,STEINWEG 2||2030|ANTWERPEN|Pakhuis|
BEANRAU00116001,"GHASAN ABOUD GENERAL TRADING||2030|ANTWERPE,|Pakhuis|"
BEANRAU00116002,SALLAUM LINES BELGIUM||2030|ANTWERPEN|Pakhuis|
BEANRAU00127001,BLAUWHOEFCOMPLEX SCHMIDT BELGIUM||2040|ANTWERPEN|Pakhuis|
BEANRAU00129001,BEVEILIGDE RUIMTE||2018|ANTWPEREN|Pakhuis|
BEANRAU00131004,EDR - DROOGDOK R.O.||2030|ANTWERPEN|Pakhuis|
BEANRAU00133001,MAGAZIJN WOUTERS (TCL1)||2030|ANTWERPEN|Pakhuis|
BEANRAU00133002,MAGAZIJN TCL NR. 2-3-4-5-6||2030|ANTWERPEN|Pakhuis|
BEANRAU00133003,ATLANTIC I||2030|ANTWERPEN|Pakhuis|
BEANRAU00133004,ATLANTIC II||2030|ANTWERPEN|Pakhuis|
BEANRAU00139001,MAGAZIJN APOLLO||2040|ANTWERPEN|Pakhuis|
BEANRAU00139003,MAGAZIJN ARIANE||2030|ANTWERPEN|Pakhuis|
BEANRAU00139004,MAGAZIJN ATLANTIS||2040|ANTWERPEN|Pakhuis|
BEANRAU00139005,MAGAZIJN ASTERIX||2040|ANTWERPEN|Pakhuis|
BEANRAU00139007,MAGAZIJN ODIN||2040|ANTWERPEN|Pakhuis|
BEANRAU00139008,MAGAZIJN FREYA||2040|ANTWERPEN|Pakhuis|
BEANRAU00139009,MAGAZIJN BALDUR||2040|ANTWERPEN|Pakhuis|
BEANRAU00141001,ALTRIPAN 1||2030|ANTWERPEN|Pakhuis|
BEANRAU00141002,ALTRIPAN 2 - 3 - 4||2030|ANTWERPEN|Pakhuis|
BEANRAU00142001,TANKPARK GUNVOR PETROLEUM ANTWERPEN NV||2040|ANTWERPEN|Pakhuis|
BEANRAU00145001,ANTWERP TANK REPAIR||2030|ANTWERPEN|Pakhuis|
BEANRAU00147001,ST 300 - KAAI 246 - KAAI 300||2030|ANTWERPEN|Pakhuis|
BEANRAU00149001,DRA||2040|ANTWERPEN|Pakhuis|
BEANRAU00149004,LOGIWELL||2040|ANTWERPEN|Pakhuis|
BEANRAU00149005,BOLCKMANS||2040|ANTWERPEN|Pakhuis|
BEANRAU00151001,STTA (KAAI 405 – 415)||2030|ANTWERPEN|Pakhuis|
BEANRAU00156001,MAGAZIJN MARNIX I T/M VII||2030|ANTWERPEN|Pakhuis|
BEANRAU00156002,"3-WAYS|1T/M3AB,5B,6T/M9AB,11T/M15AB,16B|2030|ANTWERPEN|Pakhuis|"
BEANRAU00156003,MAGAZIJN WILMARSDONK|LOODS 1 T/M 15|2030|ANTWERPEN|Pakhuis|
BEANRAU00156004,MAGAZIJN MARNIX - SILO'S||2030|ANTWERPEN|Pakhuis|
BEANRAU00156005,MAGAZIJN IRIS||2030|ANTWERPEN|Pakhuis|
BEANRAU00156006,MAGAZIJN ALTAMIRA (MEXICONATIE)||2030|ANTWERPEN|Pakhuis|
BEANRAU00156007,TERMINAL TA168 (EUROPORTS)||2030|ANTWERPEN|Pakhuis|
BEANRAU00156008,NOVANATIE TERMINALS KAAI 416||2030|ANTWERPEN|Pakhuis|
BEANRAU00163001,SAMGA NV||2030|ANTWERPEN|Pakhuis|
BEANRAU00164001,SCHMIDT BELGIUM||2030|ANTWERPEN|Pakhuis|
BEANRAU00164002,VOPAK - MAGZIJN JULES SERVAES||2030|ANTWERPEN|Pakhuis|
BEANRAU00164003,VOPAK - MAGAZIJN ECOWELL||2030|ANTWERPEN|Pakhuis|
BEANRAU00164004,OILTANKING NV||2040|ANTWERPEN|Pakhuis|
BEANRAU00164005,VOPAK - TERMINAL ACS NV||2040|ANTWERPEN|Pakhuis|
BEANRAU00164006,BAYER AGRICULTURE PLANT||2040|ANTWERPEN|Pakhuis|
BEANRAU00164007,VOPAK - LOGIWELL||2040|ANTWERPEN|Pakhuis|
BEANRAU00168001,"HANGARS, LOODSEN, OPSLAGTANKS OP FABRIEKSTERREIN||2040|ANTWERPEN|Pakhuis|"
BEANRAU00170001,MEXICO NATIE - MAGAZIJN ALTAMIRA||2030|ANTWERPEN|Pakhuis|
BEANRAU00171001,LBC CEPSA TANK TERMINALS ANTWERPEN NV||2040|ANTWERPEN|Pakhuis|
BEANRAU00172001,PAGANINI|||ANTWERPEN|Pakhuis|
BEANRAU00172002,ROSSINI|||ANTWERPEN|Pakhuis|
BEANRAU00172003,CITRINE|||ANTWERPEN|Pakhuis|
BEANRAU00172004,TOPAZ|||ANTWERPEN|Pakhuis|
BEANRAU00172005,AMULET|||ANTWERPEN|Pakhuis|
BEANRAU00172006,STRAUSS|||ANTWERPEN|Pakhuis|
BEANRAU00172007,WAGNER|||ANTWERPEN|Pakhuis|
BEANRAU00172008,AMARONE|||ANTWERPEN|Pakhuis|
BEANRAU00173005,ALASKA|LICHER||ANTWERPEN|Pakhuis|
BEANRAU00173008,BERYL|LICHTER||ANTWERPEN|Pakhuis|
BEANRAU00173010,WILLEM SR|LICHTER||ANTWERPEN|Pakhuis|
BEANRAU00173011,PASCALE|LICHTER||ANTWERPEN|Pakhuis|
BEANRAU00173012,AMULET|LICHTER||ANTWERPEN|Pakhuis|
BEANRAU00174001,LAURENTIEN|ENI NR. LICHTER 02330240||ANTWERPEN|Pakhuis|
BEANRAU00174002,LEONORE|ENI NR. LICHTER 02333003||ANTWERPEN|Pakhuis|
BEANRAU00174003,ZEELAND|ENI NR. LICHTER 02332990||ANTWERPEN|Pakhuis|
BEANRAU00174004,GIBRALTAR|ENI NR. LICHTER 02320312||ANTWERPEN|Pakhuis|
BEANRAU00174005,MALIA|ENI NR. LICHTER 02326711||ANTWERPEN|Pakhuis|
BEANRAU00176001,AQUILLON (3050 MT)|LICHTER||ANTWERPEN|Pakhuis|
BEANRAU00176002,BREITLING 3880 MT)|LICHTER||ANTWERPEN|Pakhuis|
BEANRAU00176003,MARTINIQUE (1500 MT)|LICHTER||ANTWERPEN|Pakhuis|
BEANRAU00176004,MOZART (2500 MT)|LICHTER||ANTWERPEN|Pakhuis|
BEANRAU00176005,TREASURE (2100 MT)|LICHTER||ANTWERPEN|Pakhuis|
BEANRAU00176006,VANATAGE (3050 MT)|LICHTER||ANTWERPEN|Pakhuis|
BEANRAU00176007,VERDI (1550 MT)|LICHTER||ANTWERPEN|Pakhuis|
BEANRAU00176008,VERANO (3800 MT)|LICHTER||ANTWERPEN|Pakhuis|
BEANRAU00176009,VIVALDI (1550 MT)|LICHTER||ANTWERPEN|Pakhuis|
BEANRAU00176011,LANDTANKS NOORD NATIE|TANK88 T/M 91|2030|ANTWERPEN|Pakhuis|
BEANRAU00176012,DJOLIE (3135 MT)|LICHTER||ANTWERPEN|Pakhuis|
BEANRAU00177007,MAGAZIJN STORK (HALLEN 2-3-5-6-7)||2030|ANTWERPEN|Pakhuis|
BEANRAU00180001,ST510|KAAI 508 - 514|2030|ANTWERPEN|Pakhuis|
BEANRAU00183001,JULES SERVAES I + II|KRUISWEG 2 - HAVEN 650|2040|ANTWERPEN|Pakhuis|
BEANRAU00183002,BLAUWHOEF||2040|ANTWERPEN|Pakhuis|
BEANRAU00183003,LOGIWELL||2040|ANTWERPEN|Pakhuis|
BEANRAU00183004,ECOWELL||2040|ANTWERPEN|Pakhuis|
BEANRAU00183005,EUROCENTER||2030|ANTWERPEN|Pakhuis|
BEANRAU00186001,SEA-TANK 700B TANKPARK 4300+4400+4500+4600||2040|ANTWERPEN|Pakhuis|
BEANRAU00188001,KOELLOODSEN TEGENOVER KAAIEN 182 TOT 198||2030|ANTWERPEN|Pakhuis|
BEANRAU00188002,KOELLOODSEN TEGENOVER KAAIEN 206 TOT 212||2030|ANTWERPEN|Pakhuis|
BEANRAU00188003,KOELLOODSEN TEGENOVER KAAIEN 220 TOT 228||2030|ANTWERPEN|Pakhuis|
BEANRAU00188008,KAAIEN 234 TOT 238 - LÜBECKWEG||2030|ANTWERPEN|Pakhuis|
BEANRAU00188009,DROGE LOODS TEGENOVER KAAI 220||2030|ANTWERPEN|Pakhuis|
BEANRAU00188010,LOODSEN ELS 1 EN ELS 2 TEGENOVER KAAIEN 218 TOT 220||2030|ANTWERPEN|Pakhuis|
BEANRAU00188011,PLUGINSTALLATIE GRENZEND AAN DE KOELLOODSEN TEGENOVER KAAIEN 182 TOT 1||2030|ANTWERPEN|Pakhuis|
BEANRAU00188012,PLUGINSTALLATIE GRENZEND AAN DE KOELLOODSEN TEGENOVER KAAIEN 206 TOT 2||2030|ANTWERPEN|Pakhuis|
BEANRAU00188013,PLUGINSTALLATIE GRENZEND AAN DE KOELLOODSEN TEGENOVER KAAIEN 220 TOT 2||2030|ANTWERPEN|Pakhuis|
BEANRAU00188018,PLUGINSTALLATIE GRENZEND AAN KAAIEN 234 TOT 238 - LÜBECKWEG||2030|ANTWERPEN|Pakhuis|
BEANRAU00188021,BELFRUCO||2030|ANTWERPEN|Pakhuis|
BEANRAU00189001,BELFRUCO - LOODS 1||2030|ANTWERPEN|Pakhuis|
BEANRAU00194001,MTS CHARDONNAY|ENI LICHTER 0233 1927||ANTWERPEN|Pakhuis|
BEANRAU00194002,MTS VALSINNI|||ANTWERPEN|Pakhuis|
BEANRAU00194003,MTS MAAIKE|||ANTWERPEN|Pakhuis|
BEANRAU00195001,MAGAZIJN ALPHA||2030|ANTWERPEN|Pakhuis|
BEANRAU00195002,MAGAZIJN BETA||2030|ANTWERPEN|Pakhuis|
BEANRAU00195003,MAGAZIJN DELTA||2030|ANTWERPEN|Pakhuis|
BEANRAU00196001,DELDO AUTOBANDEN|NOORDERLAAN 660|2030|ANTWERPEN|Pakhuis|
BEANRAV00015001,MAGAZIJN S2||2030|ANTWERPEN|Pakhuis|
BEANRAV00017001,TERMINAL OOSTERWEEL||2030|ANTWERPEN|Pakhuis|
BEANRAV00017002,MAGAZIJN CHRISTA||2030|ANTWERPEN|Pakhuis|
BEANRAV00018001,MAGAZIJN ALTAMIRA||2030|ANTWERPEN|Pakhuis|
BEANRAV00018002,MAGAZIJN LUITHAGEN||2030|ANTWERPEN|Pakhuis|
BEANRAV00018003,MAGAZIJN TIJL||2030|ANTWERPEN|Pakhuis|
BEANRAV00018005,TERMINAL EN MAGAZIJN MEXICO NATIE 740-748||2030|ANTWERPEN|Pakhuis|
BEANRAV00018007,MAGAZIJN TAPMICO||2030|ANTWERPEN|Pakhuis|
BEANRAV00033001,NOVA NATIE TERMINALS NV - KAAI 416 -430||2030|ANTWERPEN|Pakhuis|
BEANRAV00034001,MAG. INEOS STYROLUTION BELGIUM|BLOKV. D700-D800-E700-E800ENF200|2040|ANTWERPEN|Pakhuis|
BEANRAV00039001,MAGAZIJN MARCUS||2030|ANTWERPEN|Pakhuis|
BEANRAV00039002,MAGAZIJN LAURENTIUS||2030|ANTWERPEN|Pakhuis|
BEANRAV00044001,MAGAZIJN CBN MEDUSA||2030|ANTWERPEN|Pakhuis|
BEANRAV00044002,MAGAZIJN CBN POSEIDON||2030|ANTWERPEN|Pakhuis|
BEANRAV00046001,TERMINAL ALCA PETROLEUM COMPANY||2020|ANTWERPEN|Pakhuis|
BEANRAV0004700,||||Pakhuis|
BEANRAV00047001,MAGAZIJN APOLLO||2040|ANTWERPEN|Pakhuis|
BEANRAV00047003,MAGAZIJN ARIANE||2030|ANTWERPEN|Pakhuis|
BEANRAV00047004,MAGAZIJN ATLANTIS||2040|ANTWERPEN|Pakhuis|
BEANRAV00047005,MAGAZIJN ASTERIX||2040|ANTWERPEN|Pakhuis|
BEANRAV00047007,MAGAZIJN ODIN||2040|ANTWERPEN|Pakhuis|
BEANRAV00047008,MAGAZIJN FREYA||2040|ANTWERPEN|Pakhuis|
BEANRAV00047009,MAGAZIJN BALDUR||2040|ANTWERPEN|Pakhuis|
BEANRAV00057001,TERMINAL BAYER AGRICULTURE|MAGZIJN 1206 (A3) EN STORES (D4)|2040|ANTWERPEN|Pakhuis|
BEANRAV00063001,SAMGA||2030|ANTWERPEN|Pakhuis|
BEANRAV00067001,MAGAZIJN EDR - SCHEEPSWERF||2030|ANTWERPEN|Pakhuis|
BEANRAZ00025001,CNH INDUSTRIAL BELGIUM||2030|ANTWERPEN|Pakhuis|
BEANRAZ00121001,VALKENIERSNATIE MAG. POLAND|HAVEN 718|2030|ANTWERPEN|Pakhuis|
BEANRAZ01015001,ESSO RAFFINADERIJ|HAVEN 447|2030|ANTWERPEN|Pakhuis|
BEANRAZ01375001,EVONIK ANTWERPEN||2040|ANTWERPEN|Pakhuis|
BEANRAZ01375002,BROEKMAN LOGISTICS||2040|ANTWERPEN|Pakhuis|
BEANRAZ01375002,BROEKMAN LOGISTICS||2040|ANTWERPEN|Pakhuis|
BEANRAZ01375005,KN/NOORDKASTEEL|KAAI 355|2030|ANTWERPEN|Pakhuis|
BEANRAZ01375008,KN/VALKENIERSNATIE|HAVEN 200|2030|ANTWERPEN|Pakhuis|
BEANRAZ01375013,BROEKMAN LOGISTICS|HAVEN 650|2040|ANTWERPEN|Pakhuis|
BEANRAZ01381001,BASF|HAVEN 725|2030|ANTWERPEN|Pakhuis|
BEANRAZ01381005,NOORD NATIE|HAVEN 550|2030|ANTWERPEN|Pakhuis|
BEANRAZ01381006,SILOSTATION SMIDT|HAVEN 550|2030|ANTWERPEN|Pakhuis|
BEANRAZ01381007,BLAUWHOEF (VLS)|HAVEN 550|2030|ANTWERPEN|Pakhuis|
BEANRAZ01381008,VOPAK TERMINAL ACS|HAVEN 499-503|2040|ANTWERPEN|Pakhuis|
BEANRAZ01381009,WERF EN VLASNATIE|HAVEN 136|2030|ANTWERPEN|Pakhuis|
BEANRAZ01381011,DE RIJKE||2040|ANTWERPEN|Pakhuis|
BEANRAZ01381012,LBC TANK TERMINAL||2030|ANTWERPEN|Pakhuis|
BEANRAZ01390001,OILTANKING STOLTHAVEN ANTWERPEN|HAVEN 623|2040|ANTWERPEN|Pakhuis|
BEANRAZ01394001,ANTWERP PLANT||2040|ANTWERPEN|Pakhuis|
BEANRAZ01394002,LOCATIE OILTANKING|HAVEN 621-627|2040|ANTWERPEN|Pakhuis|
BEANRAZ01394003,LOCATIE JULES SERVAES|HAVEN 650|2040|ANTWERPEN|Pakhuis|
BEANRAZ01394004,LOCATIE LOGIWELL|HAVEN 650|2040|ANTWERPEN|Pakhuis|
BEANRAZ01394006,SILOTRANS/TRIWAY||2030|ANTWERPEN|Pakhuis|
BEANRAZ01394007,KRUISWEG 6|HAVEN 650|2030|ANTWERPEN|Pakhuis|
BEANRAZ01394008,VOPAK/TERMINAL ACS||2040|ANTWERPEN|Pakhuis|
BEANRAZ02013001,SUNNY EUROPE|HAVEN 261|2030|ANTWERPEN|Pakhuis|
BEANRAZ02272008,NOORDZEETERMINAL||2040|ANTWERPEN|Pakhuis|
BEANRAZ02272009,EUROPATERMINAL||2040|ANTWERPEN|Pakhuis|
BEANRAZ02272015,NOVA NATIE TERMINAL|K416 - 420|2040|ANTWERPEN|Pakhuis|
BEANRAZ02272016,ATO|K364|2030|ANTWERPEN|Pakhuis|
BEANRAZ02344002,MAGAZIJN VOPAK TERMINAL EUROTANK||2030|ANTWERPEN|Pakhuis|
BEANRAZ02344003,VLS GROUP BELGIUM||2040|ANTWERPEN|Pakhuis|
BEANRAZ02413003,PSA TERMINAL||2030|ANTWERPEN|Pakhuis|
BEANRAZ02413004,PSA TERMINAL||2030|ANTWERPEN|Pakhuis|
BEANRAZ02413005,ATO TERMINAL||2030|ANTWERPEN|Pakhuis|
BEANRAZ02431010,MAGAZIJN BRASIL|KAAI 119|2030|ANTWERPEN|Pakhuis|
BEANRAZ02431011,MAGAZIJN POLAND|KAAI 718|2040|ANTWERPEN|Pakhuis|
BEANRAZ02431016,MAGAZIJN KRUISWEG 2|KAAI 734 - 736|2040|ANTWERPEN|Pakhuis|
