type,omschrijving
BE101000,ANTWERPEN DAE
BE204000,BRUSSEL DE
BE211000,OTTIGNIES DA
BE212000,ZAVENTEM D
BE312000,GENT DAE
BE343000,ZEEBRUGGE D
BE408000,HASSELT DA
BE424000,TIENEN DAE
BE432000,GEEL DAE
BE501000,ARLON DE
BE514000,EYNATTEN (RAEREN) D
BE532000,BIERSET (GRACE-HOLLOGNE) DE
BE632000,LA LOUVIERIE DAE
BE648000,NAMUR DA
BE662000,RISQUONS-TOUT (MOUSCRON)
BE680000,GOSSELIES (CHARLEROI) DAE
